new_index,original_index,Contract Area,Number Of Trees,Scientific Name,Common Name,Height In Metres,Spread In Metres,Diameter In Centimetres At Breast Height,Maturity,Longitude,Latitude,Location
845,14067,Highways,1,Tilia euchlora,Lime - Caucasian,7,3,29,Semi-mature,-0.192883,51.545851,"(51.545851, -0.192883)"
846,4439,Highways,1,Tilia euchlora,Lime - Caucasian,10,4,37,Mature,-0.156555,51.555535,"(51.555535, -0.156555)"
847,24460,Highways,1,Tilia euchlora,Lime - Caucasian,13,6,37,Mature,-0.169531,51.544603,"(51.544603, -0.169531)"
848,18450,Highways,1,Tilia euchlora,Lime - Caucasian,8,4,38,Mature,-0.157711,51.553718,"(51.553718, -0.157711)"
849,10236,Highways,1,Tilia euchlora,Lime - Caucasian,14,7,27,Semi-mature,-0.150993,51.570136,"(51.570136, -0.150993)"
850,15513,Highways,1,Tilia euchlora,Lime - Caucasian,12,7,37,Semi-mature,-0.178934,51.553442,"(51.553442, -0.178934)"
851,14131,Parks,1,Robinia pseudoacacia,False Acacia,7,4,86,Veteran,-0.155298,51.540902,"(51.540902, -0.155298)"
852,12974,Highways,1,Robinia pseudoacacia,False Acacia,17,8,47,Mature,-0.116285,51.520094,"(51.520094, -0.116285)"
853,18583,Parks,1,Robinia pseudoacacia,False Acacia,13,8,60,Semi-mature,-0.122024,51.521568,"(51.521568, -0.122024)"
854,5730,Highways,1,Robinia pseudoacacia,False Acacia,5,3,13,Semi-mature,-0.116314,51.520476,"(51.520476, -0.116314)"
855,14069,Housing,1,Robinia pseudoacacia,False Acacia,10,5,30,Semi-mature,-0.159393,51.552695,"(51.552695, -0.159393)"
856,4664,Housing,1,Robinia pseudoacacia,False Acacia,17,6,39,Semi-mature,-0.134352,51.534494,"(51.534494, -0.134352)"
857,23206,Housing,1,Prunus subhirtella 'Autumnalis',Cherry - Rosebud,4,2,8,Young,-0.199234,51.549022,"(51.549022, -0.199234)"
858,7871,Parks,1,Prunus subhirtella 'Autumnalis',Cherry - Rosebud,4,4,7,Semi-mature,-0.1184,51.519284,"(51.519284, -0.1184)"
859,22446,Highways,1,Prunus subhirtella 'Autumnalis',Cherry - Rosebud,3,3,11,Young,-0.209885,51.554424,"(51.554424, -0.209885)"
860,13736,Highways,1,Prunus subhirtella 'Autumnalis',Cherry - Rosebud,3,2,10,Young,-0.211133,51.555801,"(51.555801, -0.211133)"
861,556,Highways,1,Prunus subhirtella 'Autumnalis',Cherry - Rosebud,3,1.5,8,Young,-0.135405,51.5536,"(51.5536, -0.135405)"
862,1849,Highways,1,Prunus subhirtella 'Autumnalis',Cherry - Rosebud,5,2,13,Semi-mature,-0.193741,51.550322,"(51.550322, -0.193741)"
863,2062,Highways,1,Pyrus calleryana 'Chanticclere',Pear - Chanticclere,8,3,18,Semi-mature,-0.155976,51.550209,"(51.550209, -0.155976)"
864,14003,Highways,1,Pyrus calleryana 'Chanticclere',Pear - Chanticclere,3,2,4,Young,-0.125161,51.513891,"(51.513891, -0.125161)"
865,17393,Highways,1,Pyrus calleryana 'Chanticclere',Pear - Chanticclere,3.5,1,4,Young,-0.131222,51.529764,"(51.529764, -0.131222)"
866,10714,Highways,1,Pyrus calleryana 'Chanticclere',Pear - Chanticclere,6,2,18,Semi-mature,-0.117923,51.520708,"(51.520708, -0.117923)"
867,17421,Parks,1,Pyrus calleryana 'Chanticclere',Pear - Chanticclere,6,3,18,Semi-mature,-0.147366,51.546815,"(51.546815, -0.147366)"
868,13641,Highways,1,Pyrus calleryana 'Chanticclere',Pear - Chanticclere,4,1,4,Young,-0.130938,51.529745,"(51.529745, -0.130938)"
869,356,Highways,1,Pyrus calleryana 'Chanticclere',Pear - Chanticclere,8,4,22,Semi-mature,-0.199084,51.548014,"(51.548014, -0.199084)"
870,6298,Highways,1,Amelanchier lamarckii,June Berry,4,2,12,Young,-0.19315,51.545076,"(51.545076, -0.19315)"
871,12688,Highways,1,Amelanchier lamarckii,June Berry,4,3,11,Young,-0.196507,51.550489,"(51.550489, -0.196507)"
872,11383,Highways,1,Amelanchier lamarckii,June Berry,5,2,9,Young,-0.143259,51.545635,"(51.545635, -0.143259)"
873,12972,Highways,1,Amelanchier lamarckii,June Berry,7,4,13,Semi-mature,-0.163145,51.550158,"(51.550158, -0.163145)"
874,12398,Highways,1,Amelanchier lamarckii,June Berry,4,2,12,Young,-0.138246,51.547778,"(51.547778, -0.138246)"
875,14445,Highways,1,Aesculus hippocastanum,Horse Chestnut,10,7,41,Semi-mature,-0.164578,51.55012,"(51.55012, -0.164578)"
876,23466,Highways,1,Aesculus hippocastanum,Horse Chestnut,15,6,51,Mature,-0.188941,51.56051,"(51.56051, -0.188941)"
877,17705,Highways,1,Aesculus hippocastanum,Horse Chestnut,11,7,68,Mature,-0.187086,51.559789,"(51.559789, -0.187086)"
878,16072,Parks,1,Aesculus hippocastanum,Horse Chestnut,18,16,80,Mature,-0.147544,51.557277,"(51.557277, -0.147544)"
879,14934,Parks,1,Aesculus hippocastanum,Horse Chestnut,23,19,114,Mature,-0.146896,51.568277,"(51.568277, -0.146896)"
880,19816,Highways,1,Acer platanoides 'Unknown vari',Maple - Norway,8,6,35,Mature,-0.13787,51.555837,"(51.555837, -0.13787)"
881,11556,Housing,1,Acer platanoides 'Unknown vari',Maple - Norway,14,6,25,Semi-mature,-0.150444,51.551573,"(51.551573, -0.150444)"
882,17297,Highways,1,Acer platanoides 'Unknown vari',Maple - Norway,10,5,18,Semi-mature,-0.119212,51.518554,"(51.518554, -0.119212)"
883,8830,Highways,1,Acer platanoides 'Unknown vari',Maple - Norway,12,7,26,Semi-mature,-0.131002,51.545893,"(51.545893, -0.131002)"
884,19080,Highways,1,Acer platanoides 'Unknown vari',Maple - Norway,7,4,30,Semi-mature,-0.150523,51.546541,"(51.546541, -0.150523)"
885,2382,Highways,1,Acer platanoides 'Unknown vari',Maple - Norway,15,13,48,Mature,-0.123051,51.526365,"(51.526365, -0.123051)"
886,15852,Highways,1,Acer platanoides 'Unknown vari',Maple - Norway,7,6,47,Mature,-0.140773,51.552113,"(51.552113, -0.140773)"
887,5512,Highways,1,Sorbus aria,Whitebeam,6,3,16,Semi-mature,-0.138998,51.553426,"(51.553426, -0.138998)"
888,17590,Highways,1,Sorbus aria,Whitebeam,10,4,30,Semi-mature,-0.189473,51.552013,"(51.552013, -0.189473)"
889,9234,Highways,1,Sorbus aria,Whitebeam,13,9,34,Mature,-0.124819,51.522362,"(51.522362, -0.124819)"
890,22267,Housing,1,Sorbus aria,Whitebeam,8,6,35,Mature,-0.145295,51.555244,"(51.555244, -0.145295)"
891,16481,Housing,1,Prunus avium,"Cherry - Wild, Gean",7,6,23,Semi-mature,-0.154362,51.546625,"(51.546625, -0.154362)"
892,17913,Housing,1,Prunus avium,"Cherry - Wild, Gean",7,5,23,Semi-mature,-0.143923,51.544581,"(51.544581, -0.143923)"
893,6104,Highways,1,Sorbus aucuparia,"Rowan, Mountain Ash",6,4,20,Semi-mature,-0.160967,51.554996,"(51.554996, -0.160967)"
894,12808,Highways,1,Sorbus aucuparia,"Rowan, Mountain Ash",5,4,15,Semi-mature,-0.199443,51.553418,"(51.553418, -0.199443)"
895,12670,Highways,1,Ginkgo biloba,Maidenhair tree,9,5,16,Semi-mature,-0.157754,51.545506,"(51.545506, -0.157754)"
896,13203,Highways,1,Ginkgo biloba,Maidenhair tree,3,1.5,4,Young,-0.160248,51.550636,"(51.550636, -0.160248)"
897,22842,Highways,1,Ginkgo biloba,Maidenhair tree,6,2,8,Young,-0.129709,51.529192,"(51.529192, -0.129709)"
898,353,Housing,1,Prunus kanzan,Cherry - Double pint,5,3,8,Young,-0.142133,51.531398,"(51.531398, -0.142133)"
899,7257,Housing,1,Prunus kanzan,Cherry - Double pint,7,8,46,Mature,-0.151789,51.55294,"(51.55294, -0.151789)"
900,11036,Highways,1,Carpinus betulus,Hornbeam,5,1,5,Young,-0.136809,51.538897,"(51.538897, -0.136809)"
